Date,carat,depth,table,price,x,y,z,cut,color,clarity
03-01-06,0.21,59.8,61,326,3.89,3.84,2.31,Premium,E,SI1
04-01-06,0.23,56.9,65,327,4.05,4.07,2.31,Good,E,VS1
05-01-06,0.29,62.4,58,334,4.2,4.23,2.63,Premium,I,VS2
06-01-06,0.31,63.3,58,335,4.34,4.35,2.75,Good,J,SI2
09-01-06,0.24,62.8,57,336,3.94,3.96,2.48,Very Good,J,VVS2
10-01-06,0.24,62.3,57,336,3.95,3.98,2.47,Very Good,I,VVS1
11-01-06,0.26,61.9,55,337,4.07,4.11,2.53,Very Good,H,SI1
12-01-06,0.22,65.1,61,337,3.87,3.78,2.49,Fair,E,VS2
13-01-06,0.23,59.4,61,338,4,4.05,2.39,Very Good,H,VS1
17-01-06,0.3,64,55,339,4.25,4.28,2.73,Good,J,SI1
18-01-06,0.23,62.8,56,340,3.93,3.9,2.46,Ideal,J,VS1
19-01-06,0.22,60.4,61,342,3.88,3.84,2.33,Premium,F,SI1
20-01-06,0.31,62.2,54,344,4.35,4.37,2.71,Ideal,J,SI2
23-01-06,0.2,60.2,62,345,3.79,3.75,2.27,Premium,E,SI2
24-01-06,0.32,60.9,58,345,4.38,4.42,2.68,Premium,E,I1
25-01-06,0.3,62,54,348,4.31,4.34,2.68,Ideal,I,SI2
26-01-06,0.3,63.4,54,351,4.23,4.29,2.7,Good,J,SI1
27-01-06,0.3,63.8,56,351,4.23,4.26,2.71,Good,J,SI1
30-01-06,0.3,62.7,59,351,4.21,4.27,2.66,Very Good,J,SI1
31-01-06,0.3,63.3,56,351,4.26,4.3,2.71,Good,I,SI2
01-02-06,0.23,63.8,55,352,3.85,3.92,2.48,Very Good,E,VS2
02-02-06,0.23,61,57,353,3.94,3.96,2.41,Very Good,H,VS1
03-02-06,0.31,59.4,62,353,4.39,4.43,2.62,Very Good,J,SI1
06-02-06,0.31,58.1,62,353,4.44,4.47,2.59,Very Good,J,SI1
07-02-06,0.23,60.4,58,354,3.97,4.01,2.41,Very Good,G,VVS2
08-02-06,0.24,62.5,57,355,3.97,3.94,2.47,Premium,I,VS1
09-02-06,0.3,62.2,57,357,4.28,4.3,2.67,Very Good,J,VS2
10-02-06,0.23,60.5,61,357,3.96,3.97,2.4,Very Good,D,VS2
13-02-06,0.23,60.9,57,357,3.96,3.99,2.42,Very Good,F,VS1
14-02-06,0.23,60,57,402,4,4.03,2.41,Very Good,F,VS1
15-02-06,0.23,59.8,57,402,4.04,4.06,2.42,Very Good,F,VS1
16-02-06,0.23,60.7,59,402,3.97,4.01,2.42,Very Good,E,VS1
17-02-06,0.23,59.5,58,402,4.01,4.06,2.4,Very Good,E,VS1
21-02-06,0.23,61.9,58,402,3.92,3.96,2.44,Very Good,D,VS1
22-02-06,0.23,58.2,59,402,4.06,4.08,2.37,Good,F,VS1
23-02-06,0.23,64.1,59,402,3.83,3.85,2.46,Good,E,VS1
24-02-06,0.31,64,54,402,4.29,4.31,2.75,Good,H,SI1
27-02-06,0.26,60.8,59,403,4.13,4.16,2.52,Very Good,D,VS2
28-02-06,0.33,61.8,55,403,4.49,4.51,2.78,Ideal,I,SI2
01-03-06,0.33,61.2,56,403,4.49,4.5,2.75,Ideal,I,SI2
02-03-06,0.33,61.1,56,403,4.49,4.55,2.76,Ideal,J,SI1
03-03-06,0.26,65.2,56,403,3.99,4.02,2.61,Good,D,VS2
06-03-06,0.26,58.4,63,403,4.19,4.24,2.46,Good,D,VS1
07-03-06,0.32,63.1,56,403,4.34,4.37,2.75,Good,H,SI2
08-03-06,0.29,62.4,58,403,4.24,4.26,2.65,Premium,F,SI1
09-03-06,0.32,61.8,55,403,4.35,4.42,2.71,Very Good,H,SI2
10-03-06,0.32,63.8,56,403,4.36,4.38,2.79,Good,H,SI2
13-03-06,0.25,63.3,60,404,4,4.03,2.54,Very Good,E,VS2
14-03-06,0.29,60.7,60,404,4.33,4.37,2.64,Very Good,H,SI2
15-03-06,0.24,60.9,61,404,4.02,4.03,2.45,Very Good,F,SI1
16-03-06,0.23,61.9,54,404,3.93,3.95,2.44,Ideal,G,VS1
